component_type,vendor,category,model,capacity_gb,vram_gb,source_count,sources,min_price_eur,median_price_eur,max_price_eur,latest_observed_at
ram,memory,DDR5,G.Skill Flare X5 Series Low Profile 16 GB DDR5 6000 MHz CL30 (Bulk),16,,1,LDLC España,287,287,287,2026-08-15
ram,memory,DDR4,G.Skill RipJaws Serie 5 Negro 16GB (1 x 16GB) DDR4 3200 MHz CL16,16,,1,LDLC España,104,104,104,2026-08-15
ram,memory,DDR4,Textorm SO-DIMM 16 GB DDR4 3200 MHz CL22,16,,1,LDLC España,124,124,124,2026-08-15
ram,memory,DDR4,Corsair Vengeance RGB RS 32 GB (2 x 16 GB) DDR4 3200 MHz CL16,32,,1,LDLC España,305,305,305,2026-08-15
ram,memory,DDR4,Fox Spirit Akura RGB 32 GB (2x 16 GB) DDR4 3200 MHz CL16,32,,1,LDLC España,287,287,287,2026-08-15
ram,memory,DDR5,Kingston FURY Beast RGB 32GB (2 x 16GB) DDR5 6000 MHz CL30 - Blanco,32,,1,LDLC España,614,614,614,2026-08-15
ram,memory,DDR5,Textorm 16 GB (2x 8 GB) DDR5 5600 MHz CL46,16,,1,LDLC España,268,268,268,2026-08-15
ram,memory,DDR4,G.Skill RipJaws Series SO-DIMM 16 GB (2 x 8 GB) DDR4 3200 MHz CL22,16,,1,LDLC España,100,100,100,2026-08-15
ram,memory,DDR5,G.Skill Trident Z5 48GB (2 x 24GB) DDR5 7200 MHz CL36 - Negro,48,,1,LDLC España,980,980,980,2026-08-15
cpu,intel,Core i3,Intel Core I3-12100F,,,1,Amazon España,109,109,109,2026-08-15
cpu,intel,Core i3,"Intel Procesador Core i3-2120 Dual-Core 3,3 GHz 3 MB de caché LGA 1155 - BX80623I32120 (reacondicionado certificado)",,,1,Amazon España,25,25,25,2026-08-15
cpu,intel,Core i3,"Intel Core I3 12100 - 3,3 Ghz - 4 Core - 8 Thread",,,1,Amazon España,150,150,150,2026-08-15
cpu,intel,Core i3,Intel Bandeja CPU/Core i3-12100F 4.30GHZ LGA1700,,,1,Amazon España,97,97,97,2026-08-15
cpu,intel,Core i3,"Intel Core i3-9100F - Procesador de sobremesa (4 núcleos, hasta 4,2 GHz, sin gráficos de procesador, LGA1151 300 Series 65W)",,,1,Amazon España,123,123,123,2026-08-15
cpu,intel,Core i3,"Intel Core i3-8100T - Procesador (8ª generación de procesadores Intel® Core™ i3, 3,10 GHz, LGA 1151 (Zócalo H4), PC, 14 nm, i3-8100T)",,,1,Amazon España,147,147,147,2026-08-15
cpu,intel,Core i3,"Intel BX80662I36100 - Procesador Intel Core i3-6100 (Dual-Core, LGA1151)",,,1,Amazon España,20,20,20,2026-08-15
